Modelo,MAE Global <=60m,Taxa Acerto <=60m (%),N <=60m,MAE Global <=84m,Taxa Acerto <=84m (%),N <=84m
LSTM,1.8931546966591455,64.61582900057769,3462,1.8972555355941205,64.67915956842702,3522
Random Forest,2.098347511823353,61.38070479491623,3462,2.1120753009919655,61.01646791595684,3522
MLP,2.124829651655764,59.47429231658001,3462,2.1418326710245776,59.14253265190232,3522
LightGBM,2.1490227051839392,60.05199306759099,3462,2.1641781884057942,59.71039182282794,3522
CatBoost,2.2512961321333824,57.250144425187756,3462,2.261486191441965,56.98466780238501,3522
XGBoost,2.3356147282138,56.06585788561526,3462,2.348931865927254,55.73537762634867,3522
